	lsoa11cd,imd_rank,imd_dec
E01000961,12315,4
E01000962,29401,9
E01000963,26116,8
E01000964,16265,5
E01000965,16618,6
E01000966,28370,9
E01000967,25349,8
E01000968,19671,6
E01000969,29120,9
E01000970,24158,8
E01000971,27230,9
E01000972,9542,3
E01000973,13867,5
E01000974,10710,4
E01000975,16380,5
E01000976,10317,4
E01000977,8864,3
E01000978,13895,5
E01000979,16495,6
E01000980,9879,4
E01000981,19959,7
E01000982,15540,5
E01000983,20498,7
E01000984,7716,3
E01000985,26136,8
E01000986,21003,7
E01000987,25290,8
E01000989,21663,7
E01000990,4189,2
E01000991,25997,8
E01000992,7019,3
E01000993,21934,7
E01000994,14569,5
E01000995,13889,5
E01000996,14397,5
E01000997,12509,4
E01000998,6849,3
E01000999,12197,4
E01001000,8917,3
E01001001,5065,2
E01001002,12648,4
E01001003,10779,4
E01001004,9626,3
E01001005,11930,4
E01001006,7710,3
E01001007,15344,5
E01001008,7840,3
E01001009,11542,4
E01001010,3792,2
E01001011,7617,3
E01001012,5032,2
E01001013,2836,1
E01001014,7895,3
E01001015,11187,4
E01001016,19580,6
E01001017,27025,9
E01001018,28945,9
E01001019,30069,10
E01001020,26497,9
E01001021,5720,2
E01001022,25335,8
E01001023,11765,4
E01001024,25960,8
E01001025,29173,9
E01001026,21373,7
E01001027,23880,8
E01001028,29249,9
E01001029,18934,6
E01001030,27962,9
E01001031,28476,9
E01001032,31701,10
E01001033,19477,6
E01001034,19092,6
E01001035,15799,5
E01001036,22193,7
E01001037,14015,5
E01001038,15646,5
E01001039,26259,8
E01001040,18763,6
E01001041,13451,5
E01001042,5333,2
E01001043,7324,3
E01001044,24251,8
E01001045,5615,2
E01001046,24801,8
E01001047,12736,4
E01001048,8534,3
E01001049,21805,7
E01001050,12739,4
E01001051,4553,2
E01001052,3683,2
E01001053,6916,3
E01001054,5919,2
E01001055,4623,2
E01001056,4911,2
E01001057,4109,2
E01001058,22615,7
E01001059,18690,6
E01001060,13900,5
E01001061,11605,4
E01001062,24671,8
E01001063,28486,9
E01001064,21223,7
E01001065,18054,6
E01001066,4602,2
E01001067,28333,9
E01001068,16728,6
E01001069,24807,8
E01001070,19494,6
E01001071,21108,7
E01001072,26813,9
E01001073,17617,6
E01001074,15845,5
E01001075,22665,7
E01001076,5461,2
E01001077,15639,5
E01001078,5536,2
E01001079,6279,2
E01001080,2247,1
E01001081,6015,2
E01001082,6659,3
E01001083,20660,7
E01001084,19960,7
E01001085,15555,5
E01001086,17278,6
E01001087,11394,4
E01001088,17821,6
E01001089,8631,3
E01001090,11770,4
E01001091,18543,6
E01001092,14497,5
E01001093,22543,7
E01001094,26468,9
E01001095,17663,6
E01001096,28195,9
E01001097,12443,4
E01001098,27652,9
E01001099,14611,5
E01001100,26012,8
E01001101,30394,10
E01001102,28156,9
E01001103,28082,9
E01001104,29727,10
E01001105,13713,5
E01001106,21553,7
E01001107,28273,9
E01001108,30386,10
E01001109,7046,3
E01001110,3477,2
E01001111,8781,3
E01001112,7851,3
E01001113,8829,3
E01001114,3866,2
E01001115,3186,1
E01001116,8560,3
E01001117,9323,3
E01001118,4115,2
E01001119,25971,8
E01001120,24489,8
E01001121,28016,9
E01001122,25084,8
E01001123,25485,8
E01001124,29636,10
E01001125,22109,7
E01001126,28547,9
E01001127,25246,8
E01001128,5944,2
E01001129,30882,10
E01001130,5163,2
E01001131,21386,7
E01001132,25449,8
E01001133,22956,7
E01001134,24648,8
E01001135,26298,9
E01001136,6706,3
E01001137,11694,4
E01001138,15577,5
E01001139,14729,5
E01001140,12982,4
E01001141,9313,3
E01001142,13217,5
E01001143,7941,3
E01001144,5183,2
E01001145,4281,2
E01001146,14580,5
E01001147,6270,2
E01001148,11948,4
E01001149,17888,6
E01001150,13899,5
E01001151,4019,2
E01001152,5158,2
E01001153,12275,4
E01001154,8530,3
E01001155,3291,2
E01001156,10027,4
E01001157,15973,5
E01001158,13982,5
E01001159,19487,6
E01001160,20215,7
E01001161,3575,2
E01001162,8850,3
E01001163,17644,6
E01001164,13940,5
E01001165,11281,4
E01001166,7025,3
E01001167,12891,4
E01001168,13421,5
E01001169,6795,3
E01001170,9544,3
E01001171,11031,4
E01001172,3467,2
E01001173,14566,5
E01001174,12417,4
E01001175,7742,3
E01001176,12219,4
E01001177,7251,3
E01001178,1096,1
E01001179,13775,5
E01001180,9127,3
E01001181,3607,2
E01001182,13038,4
E01001183,11301,4
E01001184,17067,6
E01001185,14358,5
E01001186,8461,3
E01001187,13847,5
E01001188,8950,3
E01001189,16383,5
E01001190,9331,3
E01001191,5914,2
E01001192,9166,3
E01001193,6123,2
E01001194,15918,5
E01001195,19967,7
E01001196,4857,2
E01001197,12321,4
E01001198,19095,6
E01001199,12563,4
E01001200,17969,6
E01001201,16425,6
E01001202,6344,2
E01001203,6778,3
E01001204,20285,7
E01001205,7545,3
E01001206,3637,2
E01001207,17745,6
E01001208,22354,7
E01001209,28190,9
E01001210,2075,1
E01001211,24028,8
E01001212,20550,7
E01001213,8943,3
E01001214,18010,6
E01001215,7934,3
E01001216,12636,4
E01001217,17865,6
E01001218,5429,2
E01001219,5527,2
E01001220,2523,1
E01001221,11345,4
E01001222,12874,4
E01001223,22559,7
E01001224,25604,8
E01001225,12984,4
E01001226,20668,7
E01001227,24152,8
E01001228,22860,7
E01001229,7923,3
E01001230,13358,5
E01001231,20102,7
E01001232,11537,4
E01001233,11472,4
E01001234,12109,4
E01001235,19722,7
E01001236,17674,6
E01001237,16963,6
E01001238,11044,4
E01001239,6813,3
E01001240,13977,5
E01001241,12616,4
E01001242,9639,3
E01001243,10522,4
E01001244,8569,3
E01001245,18507,6
E01001246,7075,3
E01001247,13338,5
E01001248,16655,6
E01001249,3848,2
E01001250,5176,2
E01001251,15489,5
E01001252,10397,4
E01001253,18300,6
E01001254,19351,6
E01001255,20547,7
E01001257,4021,2
E01001258,18071,6
E01001259,14241,5
E01001260,13738,5
E01001261,12265,4
E01001262,7386,3
E01001263,6069,2
E01001264,11124,4
E01001265,13878,5
E01001266,17834,6
E01001267,7140,3
E01001268,15642,5
E01001269,20420,7
E01001270,18289,6
E01001271,17106,6
E01001272,15184,5
E01001273,25179,8
E01001274,26422,9
E01001275,15212,5
E01001276,13885,5
E01001277,16527,6
E01001278,11526,4
E01001279,28128,9
E01001280,20279,7
E01001281,27738,9
E01001282,5881,2
E01001283,4237,2
E01001284,18191,6
E01001285,11937,4
E01001286,11665,4
E01001287,7443,3
E01001288,17925,6
E01001289,18420,6
E01001290,21401,7
E01001291,14947,5
E01001292,20084,7
E01001293,16678,6
E01001294,12398,4
E01001295,16799,6
E01001296,12764,4
E01001297,11800,4
E01001298,9045,3
E01001299,27061,9
E01001300,25967,8
E01001301,14321,5
E01001302,22524,7
E01001303,24632,8
E01001304,19885,7
E01001305,27464,9
E01001306,26685,9
E01001307,23210,8
E01001308,22868,7
E01001309,18839,6
E01001310,15589,5
E01001311,8519,3
E01001312,17313,6
E01001313,20272,7
E01001314,23394,8
E01001315,15913,5
E01001316,7159,3
E01001317,9896,4
E01001318,5532,2
E01001319,16095,5
E01001320,3831,2
E01001321,10147,4
E01001322,11458,4
E01001323,12015,4
E01001324,6468,2
E01001325,9812,3
E01001326,6645,3
E01001327,7636,3
E01001328,6406,2
E01001329,11307,4
E01001330,3501,2
E01001331,5126,2
E01001332,4277,2
E01001333,4369,2
E01001334,3919,2
E01001335,13665,5
E01001336,10825,4
E01001337,5627,2
E01001338,9484,3
E01001339,5657,2
E01001340,4859,2
E01001341,21235,7
E01001342,19108,6
E01001343,18564,6
E01001344,15761,5
E01001345,16547,6
E01001346,22171,7
E01001347,15517,5
E01001348,14879,5
E01001349,6422,2
E01001350,17789,6
E01001351,9030,3
E01001352,18684,6
E01001353,11787,4
E01001354,12592,4
E01001355,11088,4
E01001356,2863,1
E01001357,3722,2
E01001358,2888,1
E01001359,10824,4
E01001360,8447,3
E01001361,6178,2
E01001362,8413,3
E01001363,10083,4
E01001364,3672,2
E01001365,9026,3
E01001366,8743,3
E01001367,7890,3
E01001368,8520,3
E01001369,10823,4
E01001370,10253,4
E01001371,9509,3
E01001372,7551,3
E01001373,9995,4
E01001374,23089,8
E01001375,29992,10
E01001376,11416,4
E01001377,26779,9
E01001379,28867,9
E01001380,21610,7
E01001381,16099,5
E01001382,26572,9
E01001383,22673,7
E01001384,24713,8
E01001385,26344,9
E01001386,24623,8
E01001387,17508,6
E01001388,5956,2
E01001389,13509,5
E01001390,23838,8
E01001391,10400,4
E01001392,23651,8
